nombre cuenta,nombre competidor,titulo,precio,diferencia precio,cantidad vendida,diferencia cantidad
vinoteca bari,,champagne rutini brut nature x750cc,2195,,0,
vinoteca bari,,champagne rutini extra brut x750cc,1485,,1,
vinoteca bari,,estuche champagne rutini brut nature x750cc,3550,,2,
vinoteca bari,,estuche vino rutini cabernet malbec x750cc,1489,,0,
vinoteca bari,,estuche vino rutini malbec x750cc,2495,,0,
vinoteca bari,,vino rutini cabernet malbec x750cc,965,,20,
vinoteca bari,,vino rutini cabernet merlot x750cc,965,,1,
vinoteca bari,,vino rutini cabernet sauvignon x750cc,1350,,1,
vinoteca bari,,vino rutini malbec x750cc,1650,,2,
,laislavinos2,espumante rutini brut nature 750ml. - envios,2199,549,2,0
,laislavinos2,espumante rutini extra brut 750ml. - envios,1399,-251,20,18
,laislavinos2,rutini cabernet- malbec estuche x 2 x 750ml. - envios,2299,649,200,198
,laislavinos2,rutini cabernet malbec estuche x1. microcentro envios,1449,-201,500,498
,laislavinos2,vino rutini antologia x l v i ( nro. 46) blend 750ml.,3099,1449,0,-2
,laislavinos2,vino rutini antologia nâ° 38. 750ml. - envios,2499,849,50,48
,laislavinos2,vino rutini apartado gran blend 750ml. - envios,5199,3549,20,18
,laislavinos2,vino rutini apartado gran malbec 750ml. - envio sin cargo,6099,4449,5,3
,laislavinos2,vino rutini cabernet franc 750ml. - envios,1499,-151,20,18
,laislavinos2,vino rutini cabernet- malbec 750ml. - envios,1049,-601,500,498
,laislavinos2,vino rutini cabernet- malbec x 3 x 750ml. - rutini wines,2369,719,5,3
,laislavinos2,vino rutini cabernet- merlot 750ml.,1049,-601,0,-2
,laislavinos2,vino rutini cabernet sauvignon 750ml.,1299,-351,5,3
,laislavinos2,vino rutini chardonnay 750ml. - envios,1399,-251,50,48
,laislavinos2,vino rutini gewurztraminer 750ml.,1399,-251,200,198
,laislavinos2,vino rutini malbec 750ml.,1799,149,20,18
,laislavinos2,vino rutini malbec single vineyard gualtallary 750ml.,2299,649,20,18
,laislavinos2,vino rutini merlot 750ml. - envios,1049,-601,100,98
,laislavinos2,vino rutini rose 750ml. - envios,3349,1699,50,48
,laislavinos2,vino rutini sauvignon blanc 750ml. - envios,829,-821,200,198
,laislavinos2,vino rutini vin doux naturel 500ml. - dulce natural,1499,-151,100,98
